"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Johnny Juzang","Min","*","G","24.9","21","4.2","22.3","11.6","8","0.625","14","0.714","24","0.25","0.5","0.518","2","0.8","0.3","0.1","0","0.2","2.9","2.3","3.1","7.5","105.5","114.6"
"","Jordan McLaughlin","San","*","G","29.8","23","5.9","15.9","16.2","5","0.8","19","0.421","22","0.409","0.524","0.544","2","0.7","0.7","0.5","0","0.3","2.7","2.8","3.4","6.7","109.6","107.9"
"","Anthony Gill","Was","*","F","33.3","26","6.9","11.4","22","8","0.875","26","0.654","9","0.444","0.657","0.688","2","1.5","0.2","0.3","0.2","0.4","3.5","2.2","3.7","4.9","120","113"
"","Hunter Dickinson","Nor","*","C","25.2","1","4.7","35.5","50","0","0","2","0.5","0","0","0.5","0.5","2","0","0","0","1","2","2","2","2","0","42.8","83"
"","Ariel Hukporti","Nyk","*","C","23.8","36","9.1","10.1","29.7","25","0.72","44","0.568","3","0.333","0.564","0.612","2","2.9","0.5","0.1","0.6","0.6","4.9","2.5","5.4","6.3","119.7","100.7"
"","Chris Youngblood","Okc","*","G","24","32","5.4","16.5","3.2","10","0.9","9","0.444","51","0.314","0.467","0.505","2","0.9","0.3","0.1","0.1","0.1","2.9","2.4","3.3","6","114.5","100.9"
"","Lindy Waters III","San","*","F","28.5","28","6.8","12.9","6.8","1","1","7","0.571","47","0.319","0.491","0.496","1.9","0.8","0.4","0.1","0","0.1","2.7","2.3","3.1","5","104.9","107.6"
"","Mason Plumlee","Cha","*","F-C","35.9","14","8.9","8.9","42.3","12","0.667","12","0.75","0","0","0.75","0.752","1.9","2.9","1.1","0.4","0","0.6","4.7","3","5.9","8.2","128.3","105.9"
"","Bronny James","Lal","*","G","21.3","27","6.8","14.9","19.6","5","0.8","25","0.4","24","0.375","0.48","0.498","1.9","0.4","1.1","0.4","0","0.4","2.3","3","3.4","5.5","104.6","114"
"","PJ Hall","Mem","","C","24","7","3.8","17.5","9.7","3","0.667","6","0.667","3","0.333","0.611","0.63","1.9","1.3","0.3","0","0.3","0.1","3.1","2.1","3.4","9.5","0","0"
"","Taelon Peter","Ind","*","G","23.9","23","7.3","14.9","17.5","6","0.667","4","0.5","43","0.279","0.426","0.443","1.9","1","0.9","0.3","0.1","0.4","3","2.8","3.8","6.6","94.3","115.3"
"","Javonte Cooke","Por","*","G","26.6","12","6","20.2","16.9","2","1","13","0.385","16","0.188","0.328","0.351","1.8","0.8","0.6","0.5","0","0.5","2.6","2.3","3.2","6.3","77.6","114"
"","Cody Martin","Ind","*","F","30.4","4","13.8","12.8","28.1","6","0.5","5","0.4","5","0","0.2","0.277","1.8","3.5","0.5","1","0.5","1","5.3","2.3","5.8","4.2","54.8","106.2"
"","Orlando Robinson","Orl","*","C","25.6","4","6.2","8.5","0","0","0","3","0.667","2","0.5","0.7","0.7","1.8","1","0.8","0.3","0","0","2.8","2.5","3.5","7.3","167.7","106.9"
"","Harrison Ingram","San","*","F","23.2","4","3.2","13.1","0","0","0","3","0.667","1","1","0.875","0.875","1.8","0.8","0","0","0","0","2.5","1.8","2.5","0","0","0"
"","Amari Williams","Bos","*","F-C","24","13","8.2","10.6","28.2","12","0.667","15","0.467","0","0","0.467","0.542","1.7","2.1","0.5","0.2","0.7","0.5","3.8","2.2","4.2","5.9","107","101.3"
"","Jacob Toppin","Atl","*","F","25.8","5","3.4","14.8","0","0","0","6","0.667","0","0","0.667","0.667","1.6","0.4","0.2","0","0.2","0","2","1.8","2.2","5.9","0","0"
"","Brooks Barnhizer","Okc","*","G","23.9","28","7.6","10.8","13.6","6","0.667","29","0.448","15","0.333","0.466","0.482","1.6","1.7","0.5","0.2","0.1","0.3","3.3","2.1","3.8","5.8","106.7","101.4"
"","Curtis Jones","Den","*","G","24.3","6","5.1","21.4","6.7","0","0","5","0.6","9","0.111","0.321","0.321","1.5","0.8","0.5","0","0","0.2","2.3","2","2.8","6.6","79","112.5"
"","Tyson Etienne","Bro","*","G","20","8","4.3","20.3","6.3","0","0","2","0","13","0.308","0.4","0.4","1.5","0","0.1","0","0","0.1","1.5","1.6","1.6","0","81.4","111.9"
"","Andre Jackson Jr.","Mil","*","G","24.2","24","6.6","15.8","15.3","10","0.9","18","0.333","26","0.192","0.307","0.372","1.5","0.8","1","0.3","0.1","0.3","2.3","2.5","3.3","6.4","95.9","106.1"
"","Isaiah Crawford","Hou","*","F","24.3","5","5.6","8.9","0","0","0","2","1","4","0.25","0.583","0.583","1.4","0.4","0.4","0.4","0.4","0","1.8","1.8","2.2","4.3","139.7","117"
"","Jahmai Mashack","Mem","*","G","23.2","9","7.5","12.2","20","0","0","7","0.286","9","0.333","0.406","0.406","1.4","1.1","0.9","0.8","0","0.4","2.6","2.3","3.4","5.9","92.1","103.7"
"","Jonathan Mogbo","Tor","*","F","24.3","22","6.3","11.1","17.6","5","0.4","28","0.5","0","0","0.5","0.497","1.4","1.7","0.5","0.2","0.2","0.3","3","1.8","3.5","6.7","108.9","106.2"
"","Adou Thiero","Lal","*","G","21.8","15","5.8","12.8","17.9","8","0.75","17","0.412","1","0","0.389","0.465","1.3","1.2","0.3","0.3","0.1","0.3","2.5","1.7","2.9","5.4","106.3","100.8"
"","Nigel Hayes-Davis","Pho","*","F","31.2","27","7.2","12.1","14.8","4","0.5","30","0.433","16","0.125","0.348","0.356","1.3","1.2","0.3","0.3","0.1","0.3","2.5","1.5","2.7","4.3","83.9","110.1"
"","Thanasis Antetokounmpo","Mil","*","F","33.6","17","2.9","20.2","16.4","11","0.545","14","0.571","1","0","0.533","0.554","1.3","0.6","0.1","0.4","0.2","0.2","1.9","1.4","2","5.9","0","0"
"","Malevy Leons","Gol","*","F","26.4","5","4.2","17.8","23.7","2","1","4","0.5","2","0","0.333","0.436","1.2","1.8","0.2","0.2","0","0.4","3","1.4","3.2","7.2","89","105.8"
"","Lachlan Olbrich","Chi","*","C","22.1","15","7.6","9.5","18.9","10","0.4","11","0.455","6","0.167","0.382","0.397","1.1","2.4","0.8","0.1","0.1","0.3","3.5","1.9","4.3","6.8","110.9","99.3"
"","Johni Broome","Phi","*","F","23.6","9","4.8","23.2","9","4","0.5","17","0.235","3","0","0.2","0.23","1.1","1.4","0.4","0.2","0","0.2","2.6","1.6","3","7.1","73.4","104.9"
"","Khaman Maluach","Pho","*","C","19.4","22","4.3","15.3","32.9","10","0.9","15","0.533","5","0","0.4","0.512","1.1","0.9","0.1","0","0.4","0.5","2","1.3","2.2","4.3","87.9","99.1"
"","Dillon Jones","Nyk","*","F","24.3","3","4.8","8.8","0","0","0","1","0","2","0.5","0.5","0.5","1","1","0.3","0.3","0","0","2","1.3","2.3","5.6","136.4","100.3"
"","Kyle Lowry","Phi","*","G","39.9","6","7.4","9.5","20","0","0","0","0","8","0.25","0.375","0.375","1","0.5","1.2","0.2","0","0.3","1.5","2.2","2.7","4.6","93.7","114.6"
"","Hunter Sallis","Phi","*","G","22.9","7","3.7","17.9","48.9","2","0.5","5","0.6","0","0","0.6","0.595","1","0.1","0.6","0","0.1","0.7","1.1","1.6","1.7","4.2","0","0"
"","Isaac Jones","Sac","","F","25.6","3","5.6","7.3","0","2","0.5","1","1","1","0","0.5","0.521","1","0.7","0.3","0","0","0","1.7","1.3","2","4.2","146.3","104.6"
"","Dario Saric","Sac","*","F-C","31.8","5","8.3","9.2","23.7","2","1","3","0","3","0.333","0.25","0.363","1","1.2","0.4","0","0","0.4","2.2","1.4","2.6","3.8","77.7","119"
"","Trey Jemison","Nyk","*","C","26.2","9","6","9.7","40.2","1","1","7","0.571","0","0","0.571","0.605","1","1.6","0.2","0.1","0.2","0.6","2.6","1.2","2.8","4.6","100.9","104.7"
"","Drew Peterson","Cha","*","F","26.2","6","10.7","11.1","0","2","0.5","4","0.5","12","0","0.125","0.148","0.8","1.5","0.3","0.5","0.2","0","2.3","1.2","2.7","2.7","57.6","113.8"
"","N'Faly Dante","Atl","*","C","24.3","4","3.9","14.8","18.4","1","1","4","0.25","0","0","0.25","0.338","0.8","1.8","0","0.5","0","0.3","2.5","0.8","2.5","0","0","0"
"","Bismack Biyombo","San","*","C","33.4","12","5.4","6.4","32.5","2","0.5","6","0.667","0","0","0.667","0.654","0.8","0.6","0.3","0.3","0.1","0.3","1.3","1","1.6","3.9","106.2","100"
"","Pacome Dadiet","Nyk","*","F","20.5","19","3.4","10.2","0","6","1","5","0.4","8","0.125","0.269","0.416","0.7","0.6","0.4","0.2","0","0","1.3","1.1","1.7","6.5","0","0"
"","Joe Ingles","Min","*","F-G","38.4","17","4","8.6","44.6","2","1","2","0.5","5","0.4","0.571","0.635","0.6","0.3","0.8","0.4","0","0.4","0.9","1.4","1.6","5.2","105.1","106.1"
"","Garrett Temple","Tor","*","G-F","39.8","13","2.8","13","29.4","2","0.5","2","0","5","0.2","0.214","0.254","0.3","0.3","0.3","0.2","0.1","0.2","0.6","0.6","0.9","4.3","0","0"
"","Jahmyl Telfort","Lac","*","G","24.8","8","4","9.4","19.6","4","0.25","0","0","4","0","0","0.087","0.1","0.4","0.1","0.1","0","0.1","0.5","0.3","0.6","1.6","26.6","104.8"
"","Max Shulga","Bos","*","G","23.6","1","1.7","25.4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Stanley Umude","San","*","G","26.8","1","2.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","RayJ Dennis","Atl","*","G","24.9","1","4.9","8.5","0","0","0","0","0","1","0","0","0","0","0","4","1","0","0","0","4","4","0","134.3","93.2"
"","Mo Bamba","Tor","*","C","27.7","2","3","14.5","0","0","0","2","0","0","0","0","0","0","1","0","0","0.5","0","1","0","1","0","0","0"
"","RayJ Dennis","Lac","","G","24.9","1","3.5","12.7","100","0","0","0","0","0","0","0","0","0","2","0","0","0","1","2","0","2","0","0","0"
"","Chucky Hepburn","Tor","*","G","23","2","6.6","22.6","14.3","0","0","1","0","5","0","0","0","0","0.5","1","0.5","0","0.5","0.5","1","1.5","0","19.4","100.4"
"","Tosan Evbuomwan","Nyk","*","F","25","5","1.5","5.5","0","0","0","1","0","0","0","0","0","0","0.4","0","0","0","0","0.4","0","0.4","0","0","0"
"","Noa Essengue","Chi","*","F","19.1","2","3","21.1","0","0","0","1","0","2","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0"
"","Chris Manon","Lal","*","G","24.2","4","3.4","3.2","0","0","0","0","0","1","0","0","0","0","0.8","0","0.3","0.5","0","0.8","0","0.8","0","0","0"
"","Christian Koloko","Lal","","C","25.6","2","3.2","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0.5","0","0.5","0","0","0"

