"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Corey Kispert","Atl","*","F","26.9","13","20.5","19.8","8.6","23","0.87","47","0.596","59","0.356","0.561","0.599","10.7","2.2","1.5","0.5","0.1","0.8","12.8","12.2","14.4","6.4","116.2","118.1"
"","Rudy Gobert","Min","*","C","33.6","51","31.4","12.4","16.4","201","0.498","320","0.7","2","0","0.696","0.668","10.7","11.4","1.7","0.8","1.7","1.2","22.1","12.4","23.8","7.5","136.9","105.5"
"","Dylan Harper","San","*","G","19.9","40","21.4","23.2","12.9","80","0.738","277","0.531","102","0.245","0.487","0.517","10.7","3.3","3.5","0.9","0.4","1.4","14","14.2","17.5","9.3","108.3","106"
"","Zaccharie Risacher","Atl","*","F","20.8","39","24.4","18.5","9.6","55","0.618","189","0.545","169","0.349","0.535","0.546","10.7","3.5","1.4","0.9","0.5","1","14.2","12.1","15.5","6.1","106.3","111.6"
"","Harrison Barnes","San","*","F","33.7","51","28.2","15","10.7","91","0.857","161","0.547","258","0.372","0.554","0.59","10.6","3","2.1","0.6","0.2","1","13.6","12.7","15.7","5.8","119.6","112.7"
"","A.J. Green","Mil","*","G","26.4","46","30","13.4","9.9","31","0.774","38","0.526","325","0.431","0.634","0.643","10.5","2.6","2","0.5","0.1","0.9","13.1","12.5","15.1","5.1","120.5","115.5"
"","Ausar Thompson","Det","*","G-F","23","47","25.8","17.8","14.8","143","0.58","372","0.524","20","0.3","0.52","0.54","10.4","6","2.7","1.9","0.9","1.4","16.4","13.1","19.1","8.6","114.3","100.5"
"","Derrick Jones Jr.","Lac","*","F","29","19","24.2","15.6","10.3","38","0.763","71","0.69","59","0.39","0.642","0.668","10.3","2.6","1.1","0.8","1","0.8","12.9","11.4","14","5.1","129.1","113.4"
"","Khris Middleton","Was","*","F","34.5","34","24.3","19.5","15.9","69","0.841","201","0.483","99","0.333","0.488","0.531","10.3","3.9","3.3","0.8","0.3","1.7","14.3","13.6","17.5","8.4","107.8","114.8"
"","Jarace Walker","Ind","*","F","22.4","52","23.8","19.9","15.5","110","0.782","226","0.442","225","0.364","0.494","0.533","10.2","4.4","2","0.8","0.3","1.6","14.7","12.2","16.6","7.5","100.2","113"
"","Royce O'Neale","Pho","*","F","32.7","52","29.5","14.5","15.3","28","0.679","85","0.506","352","0.403","0.586","0.591","10.2","4.8","2.9","1.2","0.3","1.5","15","13.2","17.9","7.1","115.1","109.8"
